nama_species;nama_indonesia
Mydaus javanensis;Teledu Sigung
Arctictis binturong; Binturung Muntu
Arctogalidia trivirgata;Musang Akar
Cynogale bennettii;Musang Air
Diplogale hosei;Bekulu Gunung
Hemigalus derbyanus;Musang Tekalong
Macrogalidia musschenbroekii;Musang Sulawesi
Paguma larvata;Musang Galing
Paradoxurus hermaphroditus;Musang Luwak
Prionodon linsang;Linsang Linsang
Viverra tangalunga;Tenggalung Malaya
Viverricula indica;Musang Rase
Herpestes brachyurus;Garangan Cerpelai
Herpestes javanicus;Garangan Jawa
Herpestes semitorquatus;Garangan Wau
Catopuma badia;Kucing Merah
Catopuma temminckii;Kucing Emas
Felis catus;Kucing Rumah
Neofelis diardi;Macan Dahan
Panthera pardus;Harimau Tutul
Panthera tigris;Harimau Loreng
Pardofelis marmorata;Kucing Batu
Prionailurus bengalensis;Kucing Kuwuk
Prionailurus planiceps;Kucing Tandang
Prionailurus viverrinus;Kucing Bakau
Balaenoptera acutorostrata;Paus Tombak
Balaenoptera bonaerensis ;Paus Minke Antartika
Balaenoptera borealis;Paus Sei
Balaenoptera edeni ;Paus Edeni
Balaenoptera musculus;Paus Biru
Balaenoptera omurai;Paus Omura
Balaenoptera physalus;Paus Sirip
Megaptera novaeangliae;Paus Bongkok
Kogia breviceps;Paus Spermaseti Kerdil
Kogia sima ;Paus Spermaseti Cebol
Physeter catodon ;Paus Spermaseti
Delphinus capensis;Lumba-lumba Moncong Panjang
Delphinus delphis D. tropicalis,;Lumba-lumba Biasa
Feresa attenuata Stenella attenuata;Paus Pemangsa Kerdil
Globicephala macrorhynchus;Paus Pilot bersirip Pendek
Grampus griseus;Lumba-lumba Risso
Lagenodelphis hosei;Lumba-lumba Fraser
Lissodelphis peronii;Paus Selatan
Orcaella brevirostris O. fluminalis;Pesut Mahakam
Orcinus orca O. capensis;Paus Seguni
Peponocephala electra Lagenorhynchus electra;Paus Kepala Melon
Pseudorca crassidens;Paus Pemangsa Palsu
Sousa chinensis;Lumba-lumba Bongkok
Stenella attenuata;Lumba-lumba Atenuata
Stenella coeruleoalba;Lumba-lumba Garis
Stenella longirostris;Lumba-lumba Moncong Panjang
Steno bredanensis;Lumba-lumba Gigi Kasar
Tursiops aduncus;Lumba-lumba Hidung-botol Indopasifik
Tursiops truncatus;Lumba-lumba Hidung-Botol
Indopacetus pacificus;Paus Hidung Botol
Mesoplodon densirostris;Paus Paruh Blainville
Mesoplodon ginkgodens;Paus Paruh Bergigi Ginkgo
Ziphius cavirostris;Paus Paruh Angsa
Neophocaena phocaenoides;Lumba-lumba Hitam Tak Bersirip
Dugong dugon;Duyung
Elephas maximus;Gajah Asia
Equus caballus;Kuda Ternak
Tapirus indicus;Tapir Tenuk
Dicerorhinus sumatrensis;Badak Sumatra
Rhinoceros sondaicus;Badak Jawa
Babyrousa babyrussa;Babirusa Fatbot
Babyrousa bolabatuensis;Babirusa Bolabatu
Babyrousa celebensis;Babirusa Tualangio
Babyrousa togeanensis;Babirusa Togean
Sus barbatus;Babi Nangui
Sus celebensis;Babi Vavu
Sus scrofa;Babi Celeng
Sus verrucosus;Babi Kutil
Tragulus javanicus;Pelanduk Peucang
Tragulus kanchil;Pelanduk Kanchil
Tragulus napu;Pelanduk Napu
Axis axis;Rusa Totol
Axis kuhlii;Rusa Bawean
Rusa timorensis;Rusa Timor
Rusa unicolor;Rusa Sambar
Muntiacus atherodes;Kijang Kuning
Muntiacus montanus;Kijang Gunung
Muntiacus muntjak;Kijang Muncak
Bos javanicus;Sapi Benteng
Bos taurus;Sapi Ternak
Bubalus bubalis;Kerbau Ternak
Bubalus depressicornis;Anoa Dataran
Bubalus quarlesi;Anoa Gunung
Capra hircus C. aegagrus;Kambing Ternak
Capricornis sumatraensis;Serow Sumatra
Ovis aries;Domba ternak
Manis javanica;Trenggiling Peusing
Callosciurus adamsi;Bajing Telinga-totol
Callosciurus albescens;Bajing Kloss
Callosciurus baluensis;Bajing Kinabalu
Callosciurus melanogaster;Bajing Loga
Callosciurus nigrovittatus;Bajing Hitam
Callosciurus notatus;Bajing Kelapa
Callosciurus orestes;Bajing Kelabu
Callosciurus prevostii;Bajing Mandiwoi
